#CH4 Reflective index data from 
# 529nm ~ 658nm:  https://refractiveindex.info/?shelf=organic&book=methane&page=Loria
# 
#
#
#LABEL: Lambda,   Reflective Index
529.0,  1.0004480098469
530.3,  1.0004479024102
531.6,  1.0004477957607
532.9,  1.0004476898908
534.2,  1.0004475847929
535.5,  1.0004474804594
536.8,  1.0004473768831
538.1,  1.0004472740565
539.4,  1.0004471719725
540.7,  1.0004470706239
542.0,  1.0004469700037
543.2,  1.000446877764
544.5,  1.0004467785251
545.8,  1.0004466799944
547.1,  1.0004465821653
548.4,  1.000446485031
549.7,  1.0004463885851
551.0,  1.0004462928211
552.3,  1.0004461977324
553.6,  1.0004461033129
554.9,  1.0004460095562
556.2,  1.0004459164561
557.5,  1.0004458240066
558.8,  1.0004457322015
560.1,  1.0004456410349
561.4,  1.0004455505009
562.7,  1.0004454605937
564.0,  1.0004453713075
565.3,  1.0004452826365
566.6,  1.0004451945752
567.9,  1.0004451071179
569.1,  1.0004450269195
570.4,  1.0004449406084
571.7,  1.0004448548855
573.0,  1.0004447697454
574.3,  1.0004446851828
575.6,  1.0004446011925
576.9,  1.0004445177693
578.2,  1.0004444349082
579.5,  1.0004443526042
580.8,  1.0004442708521
582.1,  1.0004441896472
583.4,  1.0004441089846
584.7,  1.0004440288594
586.0,  1.0004439492668
587.3,  1.0004438702022
588.6,  1.0004437916609
589.9,  1.0004437136382
591.2,  1.0004436361297
592.5,  1.0004435591309
593.8,  1.0004434826372
595.0,  1.0004434124721
596.3,  1.0004433369376
597.6,  1.0004432618954
598.9,  1.0004431873413
600.2,  1.0004431132712
601.5,  1.0004430396808
602.8,  1.000442966566
604.1,  1.0004428939227
605.4,  1.0004428217469
606.7,  1.0004427500346
608.0,  1.0004426787818
609.3,  1.0004426079845
610.6,  1.000442537639
611.9,  1.0004424677413
613.2,  1.0004423982877
614.5,  1.0004423292745
615.8,  1.0004422606978
617.1,  1.0004421925541
618.4,  1.0004421248398
619.7,  1.0004420575511
620.9,  1.0004419958132
622.2,  1.0004419293332
623.5,  1.0004418632686
624.8,  1.0004417976159
626.1,  1.0004417323718
627.4,  1.0004416675328
628.7,  1.0004416030956
630.0,  1.0004415390569
631.3,  1.0004414754134
632.6,  1.0004414121619
633.9,  1.0004413492991
635.2,  1.0004412868219
636.5,  1.0004412247271
637.8,  1.0004411630116
639.1,  1.0004411016724
640.4,  1.0004410407063
641.7,  1.0004409801104
643.0,  1.0004409198816
644.3,  1.000440860017
645.6,  1.0004408005137
646.8,  1.0004407459058
648.1,  1.0004406870891
649.4,  1.0004406286253
650.7,  1.0004405705115
652.0,  1.0004405127451
653.3,  1.0004404553231
654.6,  1.0004403982429
655.9,  1.0004403415018
657.2,  1.000440285097
658.5,  1.000440229026
