#CaF2 Reflective index data from 
# 138 nm ~ 2326 nm: https://refractiveindex.info/?shelf=main&book=CaF2&page=Daimon-20
#
#
#LABEL: Lambda,   Reflective Index
138.0,  1.6370414813673
159.9,  1.5530600790728
181.8,  1.5144866720607
203.6,  1.4924069260915
225.5,  1.478136397727
247.4,  1.4682977782895
269.3,  1.4611733158061
291.2,  1.4558217701397
313.0,  1.451701963046
334.9,  1.448426463795
356.8,  1.4457854757204
378.7,  1.4436212235273
400.6,  1.4418226818622
422.4,  1.4403160507048
444.3,  1.4390285459721
466.2,  1.4379231385325
488.1,  1.4369657724368
510.0,  1.4361300234776
531.8,  1.4353982720045
553.7,  1.4347473372473
575.6,  1.4341674976206
597.5,  1.4336479633608
619.4,  1.4331799004394
641.2,  1.4327578624007
663.1,  1.4323719355828
685.0,  1.4320190724898
706.9,  1.4316949940006
728.8,  1.4313960738733
750.6,  1.4311204404109
772.5,  1.4308629277221
794.4,  1.4306225695339
816.3,  1.4303973959083
838.2,  1.4301856967442
860.0,  1.429986868312
881.9,  1.4297977871271
903.8,  1.429618246047
925.7,  1.4294472359537
947.6,  1.4292838650316
969.4,  1.4291280429726
991.3,  1.4289776398937
1013.,  1.4288340586444
1035.,  1.4286934677511
1057.,  1.428557379519
1079.,  1.4284253366671
1101.,  1.4282969277129
1123.,  1.4281717815609
1144.,  1.4280550591169
1166.,  1.4279353509879
1188.,  1.4278180028987
1210.,  1.4277027632126
1232.,  1.4275894027644
1254.,  1.4274777124881
1276.,  1.427367501331
1298.,  1.427258594417
1320.,  1.4271508314248
1341.,  1.4270488984962
1363.,  1.4269429572179
1385.,  1.4268377581151
1407.,  1.4267331858389
1429.,  1.4266291338913
1451.,  1.4265255038182
1473.,  1.4264222044879
1495.,  1.4263191514431
1516.,  1.4262209403216
1538.,  1.4261181475067
1560.,  1.4260153850948
1582.,  1.4259125898582
1604.,  1.4258097028733
1626.,  1.4257066691709
1648.,  1.4256034374189
1670.,  1.4254999596346
1691.,  1.4254009145985
1713.,  1.4252968289235
1735.,  1.4251923726
1757.,  1.4250875085431
1779.,  1.4249822019294
1801.,  1.4248764200308
1823.,  1.4247701320632
1845.,  1.4246633090463
1867.,  1.4245559236764
1888.,  1.4244528712003
1910.,  1.4243443136842
1932.,  1.4242351218489
1954.,  1.4241252739569
1976.,  1.42401474945
1998.,  1.4239035288713
2020.,  1.4237915937929
2042.,  1.423678926749
2063.,  1.4235706828916
2085.,  1.4234565381324
2107.,  1.4233416148503
2129.,  1.4232258988216
2151.,  1.4231093765194
2173.,  1.4229920350717
2195.,  1.4228738622211
2217.,  1.4227548462884
2238.,  1.4226404434649
2260.,  1.4225197480078
2282.,  1.4223981780181
2304.,  1.4222757237879
2326.,  1.4221523760383
