Board	Chip Chip_Channel  束流坐标-Y    束流坐标-X
2	10	1	1	32
2	10	0	2	32
2	10	3	3	32
2	10	2	3	31
2	10	5	3	30
2	10	4	4	32
2	10	7	4	31
2	10	6	4	30
2	10	9	5	32
2	10	8	5	31
2	10	11	5	30
2	10	10	5	29
2	10	13	5	28
2	10	12	6	32
2	10	15	6	31
2	10	14	6	30
2	10	17	6	29
2	10	16	6	28
2	10	19	7	32
2	10	18	7	31
2	10	21	7	30
2	10	20	7	29
2	10	23	7	28
2	10	22	7	27
2	10	25	7	26
2	10	24	8	32
2	10	27	8	31
2	10	26	8	30
2	10	29	8	29
2	10	28	8	28
2	10	31	8	27
2	10	30	8	26
2	10	33	9	32
2	10	32	9	31
2	10	35	9	30
2	10	34	9	29
2	10	37	9	28
2	10	36	9	27
2	10	39	9	26
2	10	38	9	25
2	10	41	9	24
2	10	40	10	32
2	10	43	10	31
2	10	42	10	30
2	10	45	10	29
2	10	44	10	28
2	10	47	10	27
2	10	46	10	26
2	10	49	10	25
2	10	48	10	24
2	10	51	11	32
2	10	50	11	31
2	10	53	11	30
2	10	52	11	29
2	10	55	11	28
2	10	54	11	27
2	10	57	11	26
2	10	56	11	25
2	10	59	11	24
2	10	58	11	23
2	10	61	11	22
2	10	60	12	32
2	10	63	12	31
2	10	62	12	30
2	11	1	12	29
2	11	0	12	28
2	11	3	12	27
2	11	2	12	26
2	11	5	12	25
2	11	4	12	24
2	11	7	12	23
2	11	6	12	22
2	11	9	13	32
2	11	8	13	31
2	11	11	13	30
2	11	10	13	29
2	11	13	13	28
2	11	12	13	27
2	11	15	13	26
2	11	14	13	25
2	11	17	13	24
2	11	16	13	23
2	11	19	13	22
2	11	18	13	21
2	11	21	13	20
2	11	20	14	32
2	11	23	14	31
2	11	22	14	30
2	11	25	14	29
2	11	24	14	28
2	11	27	14	27
2	11	26	14	26
2	11	29	14	25
2	11	28	14	24
2	11	31	14	23
2	11	30	14	22
2	11	33	14	21
2	11	32	14	20
2	11	35	15	32
2	11	34	15	31
2	11	37	15	30
2	11	36	15	29
2	11	39	15	28
2	11	38	15	27
2	11	41	15	26
2	11	40	15	25
2	11	43	15	24
2	11	42	15	23
2	11	45	15	22
2	11	44	15	21
2	11	47	15	20
2	11	46	15	19
2	11	49	15	18
2	11	48	16	32
2	11	51	16	31
2	11	50	16	30
2	11	53	16	29
2	11	52	16	28
2	11	55	16	27
2	11	54	16	26
2	11	57	16	25
2	11	56	16	24
2	11	59	16	23
2	11	58	16	22
2	11	61	16	21
2	11	60	16	20
2	11	63	16	19
2	11	62	16	18
2	12	1	17	32
2	12	0	17	31
2	12	3	17	30
2	12	2	17	29
2	12	5	17	28
2	12	4	17	27
2	12	7	17	26
2	12	6	17	25
2	12	9	17	24
2	12	8	17	23
2	12	11	17	22
2	12	10	17	21
2	12	13	17	20
2	12	12	17	19
2	12	15	17	18
2	12	14	17	17
2	12	17	18	32
2	12	16	18	31
2	12	19	18	30
2	12	18	18	29
2	12	21	18	28
2	12	20	18	27
2	12	23	18	26
2	12	22	18	25
2	12	25	18	24
2	12	24	18	23
2	12	27	18	22
2	12	26	18	21
2	12	29	18	20
2	12	28	18	19
2	12	31	19	32
2	12	30	19	31
2	12	33	19	30
2	12	32	19	29
2	12	35	19	28
2	12	34	19	27
2	12	37	19	26
2	12	36	19	25
2	12	39	19	24
2	12	38	19	23
2	12	41	19	22
2	12	40	19	21
2	12	43	19	20
2	12	42	19	19
2	12	45	20	32
2	12	44	20	31
2	12	47	20	30
2	12	46	20	29
2	12	49	20	28
2	12	48	20	27
2	12	51	20	26
2	12	50	20	25
2	12	53	20	24
2	12	52	20	23
2	12	55	20	22
2	12	54	20	21
2	12	57	21	32
2	12	56	21	31
2	12	59	21	30
2	12	58	21	29
2	12	61	21	28
2	12	60	21	27
2	12	63	21	26
2	12	62	21	25
2	13	1	21	24
2	13	0	21	23
2	13	3	21	22
2	13	2	21	21
2	13	5	22	32
2	13	4	22	31
2	13	7	22	30
2	13	6	22	29
2	13	9	22	28
2	13	8	22	27
2	13	11	22	26
2	13	10	22	25
2	13	13	22	24
2	13	12	22	23
2	13	15	23	32
2	13	14	23	31
2	13	17	23	30
2	13	16	23	29
2	13	19	23	28
2	13	18	23	27
2	13	21	23	26
2	13	20	23	25
2	13	23	23	24
2	13	22	23	23
2	13	25	24	32
2	13	24	24	31
2	13	27	24	30
2	13	26	24	29
2	13	29	24	28
2	13	28	24	27
2	13	31	24	26
2	13	30	24	25
2	13	33	25	32
2	13	32	25	31
2	13	35	25	30
2	13	34	25	29
2	13	37	25	28
2	13	36	25	27
2	13	39	25	26
2	13	38	25	25
2	13	41	26	32
2	13	40	26	31
2	13	43	26	30
2	13	42	26	29
2	13	45	26	28
2	13	44	26	27
2	13	47	27	32
2	13	46	27	31
2	13	49	27	30
2	13	48	27	29
2	13	51	27	28
2	13	50	27	27
2	13	53	28	32
2	13	52	28	31
2	13	55	28	30
2	13	54	28	29
2	13	57	29	32
2	13	56	29	31
2	13	59	29	30
2	13	58	29	29
2	13	61	30	32
2	13	60	30	31
2	13	63	31	32
2	13	62	31	31
5	10	1	32	1
5	10	0	31	1
5	10	3	30	1
5	10	2	30	2
5	10	5	30	3
5	10	4	29	1
5	10	7	29	2
5	10	6	29	3
5	10	9	28	1
5	10	8	28	2
5	10	11	28	3
5	10	10	28	4
5	10	13	28	5
5	10	12	27	1
5	10	15	27	2
5	10	14	27	3
5	10	17	27	4
5	10	16	27	5
5	10	19	26	1
5	10	18	26	2
