Board	Chip	Chip_Channel	Connector	Detector_Channel   
3	    10	    0		    134		8    
3       10      1       	133		7    
3       10      2       	132		10   
3       10      3       	131		9 
3       10      4       	130		12   
3       10      5       	129		11   
3       10      6       	128		14   
3       10      7       	127		13   
3       10      8       	126		16   
3       10      9       	125		15   
3       10      10      	124		18   
3       10      11      	123		17   
3       10      12      	122		20   
3       10      13      	121		19   
3       10      14      	120		22   
3       10      15      	119		21   
3       10      16      	118		24   
3       10      17      	117		23   
3       10      18      	116		26   
3       10      19      	115		25   
3       10      20      	114		28   
3       10      21      	113		27   
3       10      22      	112		30   
3       10      23      	111		29   
3       10      24      	110		32   
3       10      25      	109		31   
3       10      26      	108		34   
3       10      27      	107		33   
3       10      28      	106		36   
3       10      29      	105		35   
3       10      30      	104		38   
3       10      31      	103		37   
3       10      32      	102		40   
3       10      33      	101		39   
3       10      34      	100		42   
3       10      35      	99 		41   
3       10      36      	98		44   
3       10      37      	97		43   
3       10      38      	96		46   
3       10      39      	95		45   
3       10      40      	94		48   
3       10      41      	93		47   
3       10      42      	92		50   
3       10      43      	91		49   
3       10      44      	90		52   
3       10      45      	89		51   
3       10      46      	88		54   
3       10      47      	87		53   
3       10      48      	86		56   
3       10      49      	85		55   
3       10      50      	84		58   
3       10      51      	83		57   
3       10      52      	82		60   
3       10      53      	81		59   
3       10      54      	80		62   
3       10      55      	79		61   
3       10      56      	78		64   
3       10      57      	77		63   
3       10      58      	76		66   
3       10      59      	75		65   
3       10      60      	74		68   
3       10      61      	73		67   
3       10      62      	72		70   
3       10      63      	71		69   
3       11      64      	70		72   
3       11      65      	69		71   
3       11      66      	68		74   
3       11      67      	67		73   
3       11      68      	66		76   
3       11      69      	65		75   
3       11      70      	64		78   
3       11      71      	63		77   
3       11      72      	62		80   
3       11      73      	61		79   
3       11      74      	60		82   
3       11      75      	59		81   
3       11      76      	58		84   
3       11      77      	57		83   
3       11      78      	56		86   
3       11      79      	55		85   
3       11      80      	54		88   
3       11      81      	53		87   
3       11      82      	52		90   
3       11      83      	51		89   
3       11      84      	50		92   
3       11      85      	49		91   
3       11      86      	48		94   
3       11      87      	47		93   
3       11      88      	46		96   
3       11      89      	45		95   
3       11      90      	44		98   
3       11      91      	43		97   
3       11      92      	42		100  
3       11      93      	41		99
3       11      94      	40		102  
3       11      95      	39		101  
3       11      96      	38		104  
3       11      97      	37		103  
3       11      98      	36		106  
3       11      99      	35		105  
3       11      100     	34		108  
3       11      101     	33		107  
