Board	Chip	Chip_Channel	Connector	Detector_Channel   
6	    10	    0		    134		8    
6       10      1       	133		7    
6       10      2       	132		10   
6       10      3       	131		9 
6       10      4       	130		12   
6       10      5       	129		11   
6       10      6       	128		14   
6       10      7       	127		13   
6       10      8       	126		16   
6       10      9       	125		15   
6       10      10      	124		18   
6       10      11      	123		17   
6       10      12      	122		20   
6       10      13      	121		19   
6       10      14      	120		22   
6       10      15      	119		21   
6       10      16      	118		24   
6       10      17      	117		23   
6       10      18      	116		26   
6       10      19      	115		25   
6       10      20      	114		28   
6       10      21      	113		27   
6       10      22      	112		30   
6       10      23      	111		29   
6       10      24      	110		32   
6       10      25      	109		31   
6       10      26      	108		34   
6       10      27      	107		33   
6       10      28      	106		36   
6       10      29      	105		35   
6       10      30      	104		38   
6       10      31      	103		37   
6       10      32      	102		40   
6       10      33      	101		39   
6       10      34      	100		42   
6       10      35      	99 		41   
6       10      36      	98		44   
6       10      37      	97		43   
6       10      38      	96		46   
6       10      39      	95		45   
6       10      40      	94		48   
6       10      41      	93		47   
6       10      42      	92		50   
6       10      43      	91		49   
6       10      44      	90		52   
6       10      45      	89		51   
6       10      46      	88		54   
6       10      47      	87		53   
6       10      48      	86		56   
6       10      49      	85		55   
6       10      50      	84		58   
6       10      51      	83		57   
6       10      52      	82		60   
6       10      53      	81		59   
6       10      54      	80		62   
6       10      55      	79		61   
6       10      56      	78		64   
6       10      57      	77		63   
6       10      58      	76		66   
6       10      59      	75		65   
6       10      60      	74		68   
6       10      61      	73		67   
6       10      62      	72		70   
6       10      63      	71		69   
6       11      64      	70		72   
6       11      65      	69		71   
6       11      66      	68		74   
6       11      67      	67		73   
6       11      68      	66		76   
6       11      69      	65		75   
6       11      70      	64		78   
6       11      71      	63		77   
6       11      72      	62		80   
6       11      73      	61		79   
6       11      74      	60		82   
6       11      75      	59		81   
6       11      76      	58		84   
6       11      77      	57		83   
6       11      78      	56		86   
6       11      79      	55		85   
6       11      80      	54		88   
6       11      81      	53		87   
6       11      82      	52		90   
6       11      83      	51		89   
6       11      84      	50		92   
6       11      85      	49		91   
6       11      86      	48		94   
6       11      87      	47		93   
6       11      88      	46		96   
6       11      89      	45		95   
6       11      90      	44		98   
6       11      91      	43		97   
6       11      92      	42		100  
6       11      93      	41		99
6       11      94      	40		102  
6       11      95      	39		101  
6       11      96      	38		104  
6       11      97      	37		103  
6       11      98      	36		106  
6       11      99      	35		105  
6       11      100     	34		108  
6       11      101     	33		107  
6       11      102     	32		110  
6       11      103     	31		109  
6       11      104     	30		112  
6       11      105     	29		111  
6       11      106     	28		114  
6       11      107     	27		113  
6       11      108     	26		116  
6       11      109     	25		115  
6       11      110     	24		118  
6       11      111     	23		117  
6       11      112     	22		120  
6       11      113     	21		119  
6       11      114     	20		122  
6       11      115     	19		121  
6       11      116     	18		124  
6       11      117     	17		123  
6       11      118     	16		126  
6       11      119     	15		125  
6       11      120     	14		128  
6       11      121     	13		127  
6       11      122     	12		130  
6       11      123     	11		129  
6       11      124     	10		132  
6       11      125     	9		131  
6       11      126     	8		134  
6       11      127     	7		133  
6       12      128     	134		8   
6       12      129     	133		7   
6       12      130     	132		10  
6       12      131     	131		9   
6       12      132     	130		12  
6       12      133     	129		11  
6       12      134     	128		14  
6       12      135     	127		13  
6       12      136     	126		16  
6       12      137     	125		15  
6       12      138     	124		18  
6       12      139     	123		17  
6       12      140     	122		20  
6       12      141     	121		19  
6       12      142     	120		22  
6       12      143     	119		21  
6       12      144     	118		24  
6       12      145     	117		23  
6       12      146     	116		26  
6       12      147     	115		25  
6       12      148     	114		28  
6       12      149     	113		27  
6       12      150     	112		30  
6       12      151     	111		29  
6       12      152     	110		32  
6       12      153     	109		31  
6       12      154     	108		34  
6       12      155     	107		33  
6       12      156     	106		36  
6       12      157     	105		35  
6       12      158     	104		38  
6       12      159     	103		37  
6       12      160     	102		40  
6       12      161     	101		39  
6       12      162     	100		42  
6       12      163     	99 		41  
6       12      164     	98 		44  
6       12      165     	97 		43  
6       12      166     	96 		46  
6       12      167     	95 		45  
6       12      168     	94 		48  
6       12      169     	93 		47  
6       12      170     	92 		50  
6       12      171     	91 		49  
6       12      172     	90 		52  
6       12      173     	89 		51  
6       12      174     	88 		54  
6       12      175     	87 		53  
6       12      176     	86 		56  
6       12      177     	85 		55  
6       12      178     	84 		58  
6       12      179     	83 		57  
6       12      180     	82 		60  
6       12      181     	81 		59  
6       12      182     	80 		62  
6       12      183     	79 		61  
6       12      184     	78 		64  
6       12      185     	77 		63  
6       12      186     	76 		66  
6       12      187     	75 		65  
6       12      188     	74 		68  
6       12      189     	73 		67  
6       12      190     	72 		70  
6       12      191     	71 		69  
6       13      192     	70 		72  
6       13      193     	69 		71  
6       13      194     	68 		74  
