#Ar Reflective index data from 
# 140 nm ~ 567 nm: https://refractiveindex.info/?shelf=main&book=Ar&page=Bideau-Mehu
# 567 nm ~ 2059nm: https://refractiveindex.info/?shelf=main&book=Ar&page=Peck-0C
#
#
#LABEL: Lambda,   Reflective Index
140.4,  1.0003954468031
144.7,  1.000384471176
148.9,  1.0003754104638
153.2,  1.0003674523406
157.5,  1.0003605550249
161.8,  1.0003545167348
166.0,  1.0003493024815
170.3,  1.0003445489327
174.6,  1.0003402956037
178.9,  1.0003364687805
183.1,  1.0003330854785
187.4,  1.0003299365358
191.7,  1.000327065903
195.9,  1.0003244981045
200.2,  1.0003220826967
204.5,  1.000319859096
208.8,  1.0003178063927
213.0,  1.0003159491557
217.3,  1.0003141836437
221.6,  1.0003125421949
225.9,  1.0003110129216
230.1,  1.0003096174992
234.4,  1.0003082804394
238.7,  1.0003070279433
243.0,  1.0003058527535
247.2,  1.0003047733247
251.5,  1.0003037325774
255.8,  1.0003027518148
260.0,  1.0003018472894
264.3,  1.0003009717909
268.6,  1.0003001436653
272.9,  1.0002993594546
277.1,  1.0002986328672
281.4,  1.0002979264994
285.7,  1.000297255504
290.0,  1.0002966174972
294.2,  1.0002960240837
298.5,  1.0002954450422
302.8,  1.000294893012
307.0,  1.0002943782739
311.3,  1.0002938747859
315.6,  1.0002933936509
319.9,  1.0002929335374
324.1,  1.0002925032374
328.4,  1.0002920811403
332.7,  1.0002916766565
337.0,  1.0002912888013
341.2,  1.0002909251414
345.5,  1.0002905675228
349.8,  1.0002902239878
354.1,  1.000289893794
358.3,  1.0002895834941
362.6,  1.0002892776758
366.9,  1.0002889832643
371.1,  1.0002887061662
375.4,  1.0002884326629
379.7,  1.0002881689747
384.0,  1.0002879146307
388.2,  1.0002876747985
392.5,  1.000287437649
396.8,  1.0002872086019
401.1,  1.0002869872875
405.3,  1.0002867782509
409.6,  1.0002865712151
413.9,  1.0002863709307
418.1,  1.0002861815402
422.4,  1.0002859937524
426.7,  1.0002858118871
431.0,  1.0002856356953
435.2,  1.0002854688516
439.5,  1.0002853031915
443.8,  1.0002851425372
448.1,  1.000284986687
452.3,  1.0002848389154
456.6,  1.000284692007
460.9,  1.0002845493599
465.1,  1.000284413986
469.4,  1.000284279285
473.7,  1.0002841483777
478.0,  1.0002840211216
482.2,  1.0002839002197
486.5,  1.0002837797878
490.8,  1.0002836626212
495.1,  1.0002835486019
499.3,  1.0002834401647
503.6,  1.0002833320404
507.9,  1.0002832267425
512.2,  1.0002831241727
516.4,  1.0002830265317
520.7,  1.0002829290815
525.0,  1.0002828340908
529.2,  1.0002827436044
533.5,  1.0002826532356
537.8,  1.0002825650902
542.1,  1.0002824790953
546.3,  1.0002823971095
550.6,  1.0002823151629
554.9,  1.000282235167
559.2,  1.00028215706
563.4,  1.0002820825361
567.7,  1.0002820079905
579.3,  1.0002818998234
595.2,  1.000281661683
611.1,  1.0002814423579
627.0,  1.0002812399059
642.9,  1.0002810526307
658.8,  1.0002808790447
674.7,  1.0002807178394
690.6,  1.0002805678593
706.5,  1.0002804280813
722.4,  1.000280297597
738.3,  1.000280175597
754.2,  1.0002800613584
770.2,  1.0002799535819
786.1,  1.0002798530308
802.0,  1.0002797584877
817.9,  1.0002796694818
833.8,  1.0002795855875
849.7,  1.0002795064195
865.6,  1.0002794316285
881.5,  1.0002793608966
897.4,  1.0002792939346
913.3,  1.0002792304786
929.2,  1.0002791702872
945.1,  1.0002791131399
961.0,  1.0002790588343
977.0,  1.0002790068678
992.9,  1.0002789577183
1009.,  1.0002789103209
1025.,  1.000278865433
1041.,  1.0002788226166
1056.,  1.0002787842457
1072.,  1.0002787450935
1088.,  1.0002787076694
1104.,  1.0002786718732
1120.,  1.0002786376114
1136.,  1.0002786047975
1152.,  1.000278573351
1168.,  1.0002785431967
1184.,  1.0002785142648
1200.,  1.0002784864898
1216.,  1.0002784598109
1231.,  1.0002784357442
1247.,  1.0002784110299
1263.,  1.0002783872544
1279.,  1.0002783643707
1295.,  1.0002783423346
1311.,  1.0002783211048
1327.,  1.0002783006423
1343.,  1.0002782809106
1359.,  1.0002782618751
1375.,  1.0002782435036
1391.,  1.0002782257655
1406.,  1.0002782096855
1422.,  1.0002781930939
1438.,  1.0002781770555
1454.,  1.000278161546
1470.,  1.0002781465423
1486.,  1.0002781320227
1502.,  1.0002781179666
1518.,  1.0002781043543
1534.,  1.0002780911675
1550.,  1.0002780783884
1566.,  1.0002780660006
1581.,  1.0002780547282
1597.,  1.0002780430539
1613.,  1.0002780317266
1629.,  1.0002780207325
1645.,  1.0002780100588
1661.,  1.0002779996931
1677.,  1.0002779896237
1693.,  1.0002779798393
1709.,  1.0002779703293
1725.,  1.0002779610835
1741.,  1.0002779520923
1756.,  1.0002779438859
1772.,  1.0002779353618
1788.,  1.0002779270661
1804.,  1.0002779189908
1820.,  1.0002779111282
1836.,  1.0002779034708
1852.,  1.0002778960115
1868.,  1.0002778887436
1884.,  1.0002778816606
1900.,  1.0002778747562
1916.,  1.0002778680245
1931.,  1.0002778618653
1947.,  1.0002778554521
1963.,  1.0002778491955
1979.,  1.0002778430903
1995.,  1.0002778371318
2011.,  1.0002778313153
2027.,  1.0002778256363
2043.,  1.0002778200905
2059.,  1.0002778146738
